date,value
2022-04-02,53.02
2020-02-03,55.44
2020-03-03,54.03
2020-04-03,62.46
2020-05-03,59.72
2020-06-03,58.56
2020-09-03,55.36
2020-10-03,60.37
2020-11-03,57.95
2020-12-03,57.13
2021-01-03,63.57
2021-04-03,54.03
2021-05-03,57.99
2021-06-03,52.68
2021-07-03,53.6
2021-08-03,48.85
2021-11-03,45.55
2021-12-03,48.73
2022-01-03,52.29
2022-02-03,58.3
2022-03-03,55.1
2022-06-03,57.71
2022-07-03,59.41
2020-01-04,56.12
2020-02-04,56.36
2020-03-04,54.6
2020-06-04,60.12
2020-07-04,60.15
2020-08-04,65.15
2020-09-04,66.42
2021-01-04,65.15
2021-02-04,66.4
2021-03-04,69.02
2021-04-04,72.85
2021-05-04,71.29
2021-08-04,68.42
2021-09-04,66.24
2021-10-04,68.35
2021-11-04,69.24
2021-12-04,70.58
2022-03-04,70.82
2022-04-04,67.17
2022-05-04,66.17
2022-06-04,66.58
2020-01-05,64.97
2020-04-05,65.86
2020-05-05,68.35
2020-06-05,65.5
2020-07-05,64.61
2020-08-05,65.88
2020-11-05,67.54
2020-12-05,66.75
2021-01-05,64.69
2021-02-05,65.84
2021-03-05,68.7
2021-06-05,67.74
2021-07-05,66.91
2021-08-05,65.32
2021-09-05,65.65
2021-10-05,64.84
2022-02-05,64.49
2022-03-05,65.69
2022-04-05,66.9
2022-05-05,66.25
2020-01-06,65.7
2020-02-06,66.27
2020-03-06,65.36
2020-04-06,64.39
2020-05-06,65.11
2020-08-06,67.18
2020-09-06,65.67
2020-10-06,64.41
2020-11-06,60.26
2020-12-06,61.94
2021-03-06,61.98
2021-04-06,64.08
2021-05-06,63.53
2021-06-06,63.95
2021-07-06,64.22
2021-10-06,63.1
2021-11-06,63.77
2021-12-06,61.88
2022-01-06,63.36
2022-02-06,59.75
2022-05-06,62.59
2022-06-06,63.55
2020-01-07,65.41
2020-02-07,66.52
2020-06-07,66.63
2020-07-07,65.83
2020-08-07,65.59
2020-09-07,63.31
2020-10-07,62.84
2021-01-07,63.53
2021-02-07,65.28
2021-03-07,65.6
2021-04-07,66.03
2021-05-07,66.27
2021-08-07,64.86
2021-09-07,65.87
2021-10-07,66.82
2021-11-07,67.74
2021-12-07,67.51
2022-03-07,67.27
2022-04-07,64.23
2022-05-07,66.34
2022-06-07,66.81
2022-07-07,65.25
2020-03-08,63.1
2020-04-08,62.64
2020-05-08,63.98
2020-06-08,63.72
2020-07-08,64.28
2020-10-08,63
2020-11-08,62.88
2020-12-08,65.05
2021-01-08,64.68
2021-02-08,64.64
2021-05-08,64.12
2021-06-08,63.14
2021-07-08,63.47
2021-08-08,62.4
2021-09-08,62.47
2021-12-08,60.28
2022-01-08,60.79
2022-02-08,59.38
2022-03-08,60.49
2022-04-08,60.48
2022-07-08,61.32
2020-01-09,61.37
2020-02-09,61.98
2020-03-09,60.23
2020-04-09,59.67
2020-08-09,57.16
2020-09-09,57.35
2020-10-09,57.1
2020-11-09,56.44
2021-02-09,58.22
2021-03-09,58.18
2021-04-09,59.9
2021-05-09,60.42
2021-06-09,61.13
2021-09-09,55.99
2021-10-09,54.34
2021-11-09,54.94
2021-12-09,54.3
2022-01-09,55.41
2022-04-09,55.52
2022-05-09,55.86
2022-06-09,58.33
2020-01-10,58.82
2020-02-10,59.98
2020-05-10,62.26
2020-06-10,62.25
2020-07-10,64.62
2020-08-10,64.68
2020-09-10,64.2
2020-12-10,65.3
2021-01-10,65.37
2021-02-10,65.19
2021-03-10,65.86
2021-04-10,66.21
2021-07-10,65.73
2021-08-10,65.56
2021-09-10,65.98
2021-10-10,66.94
2021-11-10,67.42
2022-02-10,66.39
2022-03-10,64.14
2022-04-10,61.16
2022-05-10,58.33
2022-06-10,59.1
2020-02-11,62.38
2020-03-11,64.64
2020-04-11,63.99
2020-05-11,67.88
2020-06-11,67.93
2020-09-11,68.82
2020-10-11,71.12
2020-11-11,69.4
2020-12-11,68.83
2021-01-11,69.05
2021-04-11,67.67
2021-05-11,67.28
2021-06-11,65.96
2021-07-11,63.61
2021-08-11,62.96
2021-11-11,63.92
2021-12-11,63.39
2022-01-11,62.19
2022-03-11,63.17
2022-06-11,61.65
2020-01-12,62.87
2020-02-12,63.84
2020-03-12,63.68
2020-04-12,64.6
2020-07-12,64.57
2020-08-12,65.01
2020-09-12,63.45
2020-10-12,61.31
2020-11-12,60.71
2021-02-12,59.73
2021-03-12,60.38
2021-04-12,61.03
2021-05-12,62.09
2021-06-12,61.15
2021-09-12,58.69
2021-10-12,58.07
2021-11-12,58.68
2021-12-12,58.02
2022-04-12,58.83
2022-05-12,59.03
2022-06-12,58.92
2022-07-12,60.03
2020-04-01,62.09
2020-05-01,61.07
2020-06-01,67.66
2020-07-01,69.75
2020-08-01,68.21
2020-11-01,68.68
2020-12-01,68.14
2021-01-01,66.51
2021-02-01,65.03
2021-03-01,63.99
2021-07-01,62.79
2021-08-01,62.42
2021-09-01,62.75
2021-10-01,61.51
2022-01-01,60.93
2022-02-01,60.1
2022-03-01,58.42
2022-04-01,60.77
2022-05-01,60.3
2020-01-02,59.6
2020-02-02,59.64
2020-03-02,60.48
2020-04-02,60.4
2020-05-02,58.88
2020-08-02,58.24
2020-09-02,60.27
2020-10-02,61.06
2020-11-02,59.97
