date,value
2019-01-02,56.5
2019-01-03,54.96
2019-01-04,56.77
2019-01-07,57.25
2019-01-08,58.04
2019-01-09,59.12
2019-01-10,59.21
2019-01-11,59.99
2019-01-14,60.95
2019-01-15,62.56
2019-01-16,63.23
2019-01-17,62.64
2019-01-18,63.31
2019-01-22,62.78
2019-01-23,62.77
2019-01-24,63.37
2019-01-25,64.5
2019-01-28,64.48
2019-01-29,63.95
2019-01-30,65.03
2019-01-31,65.29
2019-02-01,65.89
2019-02-04,64.99
2019-02-05,63.74
2019-02-06,63.08
2019-02-07,63.91
2019-02-08,62.9
2019-02-11,61.95
2019-02-12,63.05
2019-02-13,63.69
2019-02-14,63.96
2019-02-15,64.97
2019-02-19,64.41
2019-02-20,65.28
2019-02-21,63.51
2019-02-22,64.01
2019-02-25,64.02
2019-02-26,63.79
2019-02-27,61.89
2019-02-28,60.89
2019-03-01,61.34
2019-03-04,58.56
2019-03-05,58.08
2019-03-06,56.88
2019-03-07,56.43
2019-03-08,56.56
2019-03-11,57.45
2019-03-12,58.28
2019-03-13,59.98
2019-03-14,59.38
2019-03-15,59.15
2019-03-18,59.36
2019-03-19,59.97
2019-03-20,58.68
2019-03-21,58.91
2019-03-22,57.14
2019-03-25,57.05
2019-03-26,54.85
2019-03-27,52.12
2019-03-28,52.82
2019-03-29,53.1
2019-04-01,54.16
2019-04-02,53.69
2019-04-03,53.37
2019-04-04,53.56
2019-04-05,55.84
2019-04-08,56.64
2019-04-09,57.88
2019-04-10,57.29
2019-04-11,55.13
2019-04-12,52.92
2019-04-15,53.22
2019-04-16,50.07
2019-04-17,47.01
2019-04-18,48.2
2019-04-22,48.08
2019-04-23,50.31
2019-04-24,50.2
2019-04-25,50.23
2019-04-26,52.63
2019-04-29,52.26
2019-04-30,51.56
2019-05-01,49.73
2019-05-02,51.62
2019-05-03,52.59
2019-05-06,56.04
2019-05-07,55.85
2019-05-08,56.62
2019-05-09,54.74
2019-05-10,55.05
2019-05-13,54.9
2019-05-14,54.74
2019-05-15,54.43
2019-05-16,55.57
2019-05-17,56.04
2019-05-20,55.51
2019-05-21,57.14
2019-05-22,56.78
2019-05-23,55.42
2019-05-24,56.87
2019-05-28,56.09
2019-05-29,56.23
2019-05-30,57
2019-05-31,57.75
2019-06-03,51.82
2019-06-04,53.94
2019-06-05,53.87
2019-06-06,53.89
2019-06-07,54.21
2019-06-10,54.97
2019-06-11,54.16
2019-06-12,53.69
2019-06-13,53.74
2019-06-14,53.55
2019-06-17,55.01
2019-06-18,55.26
2019-06-19,55.46
2019-06-20,55.38
2019-06-21,56.37
2019-06-24,55.33
2019-06-25,53.91
2019-06-26,52.02
2019-06-27,52.44
2019-06-28,52.44
2019-07-01,51.35
2019-07-02,51.54
2019-07-03,51.35
2019-07-05,51.48
2019-07-08,51.26
2019-07-09,50.45
2019-07-10,51.21
2019-07-11,53.22
2019-07-12,54.51
2019-07-15,54.06
2019-07-16,53.74
2019-07-17,53.23
2019-07-18,53.17
2019-07-19,52.66
2019-07-22,52.19
2019-07-23,52.56
2019-07-24,53.73
2019-07-25,52.13
2019-07-26,53.42
2019-07-29,53.84
2019-07-30,53.8
2019-07-31,52.09
2019-08-01,51.35
2019-08-02,50.97
2019-08-05,48.52
2019-08-06,48.95
2019-08-07,48.96
2019-08-08,49.45
2019-08-09,48.7
2019-08-12,47.96
2019-08-13,49.73
2019-08-14,47.78
2019-08-15,47.56
2019-08-16,48.01
2019-08-19,47.44
2019-08-20,46.54
2019-08-21,46.93
2019-08-22,45.55
2019-08-23,44.72
2019-08-26,45.27
2019-08-27,45.03
2019-08-28,45.32
2019-08-29,46.32
2019-08-30,46.62
2019-09-03,46.14
2019-09-04,45.61
2019-09-05,46.14
2019-09-06,45.89
2019-09-09,46.23
2019-09-10,47.31
2019-09-11,46.78
2019-09-12,44.89
2019-09-13,45.4
2019-09-16,46.12
2019-09-17,45.55
2019-09-18,46
2019-09-19,46.45
2019-09-20,46.39
2019-09-23,46.39
2019-09-24,45.78
2019-09-25,45.33
2019-09-26,43.13
2019-09-27,43.17
2019-09-30,43.26
2019-10-01,42.75
2019-10-02,42.73
2019-10-03,43.23
2019-10-04,43.57
2019-10-07,43.82
2019-10-08,42.76
2019-10-09,43.82
2019-10-10,44.09
2019-10-11,44.27
2019-10-14,43.9
2019-10-15,45.21
2019-10-16,45.54
2019-10-17,47.18
2019-10-18,46.88
2019-10-21,45.77
2019-10-22,48.75
2019-10-23,48.39
2019-10-24,47.64
2019-10-25,48.23
2019-10-28,48.6
2019-10-29,49.91
2019-10-30,54.04
2019-10-31,53.08
2019-11-01,52.13
2019-11-04,51.71
2019-11-05,51.84
2019-11-06,50.83
2019-11-07,53.09
2019-11-08,55.06
2019-11-11,53.96
2019-11-12,55.2
2019-11-13,55.35
2019-11-14,54.65
2019-11-15,57.56
2019-11-18,59.36
2019-11-19,59.39
2019-11-20,59.46
2019-11-21,59.69
2019-11-22,59.45
2019-11-25,61.17
2019-11-26,60.02
2019-11-27,60.44
2019-11-29,60.47
2019-12-02,60.18
2019-12-03,60.07
2019-12-04,59.98
2019-12-05,60.02
2019-12-06,60.98
2019-12-09,59.17
2019-12-10,59.62
2019-12-11,58.64
2019-12-12,58.52
2019-12-13,57.71
2019-12-16,60.02
2019-12-17,58.94
2019-12-18,60.35
2019-12-19,61.87
2019-12-20,61.93
2019-12-23,62.9
2019-12-24,63.23
2019-12-26,63.4
2019-12-27,63.65
2019-12-30,63.04
2019-12-31,62.87
2020-01-02,61.88
2020-01-03,61.16
2020-01-06,63.03
2020-01-07,63.03
2020-01-08,64.37
2020-01-09,64.16
2020-01-10,64.48
2020-01-13,63.4
2020-01-14,63.17
2020-01-15,64.52
2020-01-16,65.13
2020-01-17,64.54
2020-01-21,65.49
2020-01-22,66.76
2020-01-23,68.02
2020-01-24,66.61
2020-01-27,63.42
2020-01-28,65.25
2020-01-29,65.2
2020-01-30,63.52
2020-01-31,62.81
2020-02-03,62.88
2020-02-04,61.97
2020-02-05,66.07
2020-02-06,64.35
2020-02-07,63.16
2020-02-10,63
2020-02-11,63.71
2020-02-12,66.49
2020-02-13,65.89
2020-02-14,64.94
2020-02-18,66.71
2020-02-19,67.37
2020-02-20,65.73
2020-02-21,65.49
2020-02-24,59.35
2020-02-25,55.95
2020-02-26,54.39
2020-02-27,52.62
2020-02-28,53.02
2020-03-02,55.44
2020-03-03,54.03
2020-03-04,62.46
2020-03-05,59.72
2020-03-06,58.56
2020-03-09,55.36
2020-03-10,60.37
2020-03-11,57.95
2020-03-12,57.13
2020-03-13,63.57
2020-03-16,54.03
2020-03-17,57.99
2020-03-18,52.68
2020-03-19,53.6
2020-03-20,48.85
2020-03-23,45.55
2020-03-24,48.73
2020-03-25,52.29
2020-03-26,58.3
2020-03-27,55.1
2020-03-30,57.71
2020-03-31,59.41
2020-04-01,56.12
2020-04-02,56.36
2020-04-03,54.6
2020-04-06,60.12
2020-04-07,60.15
2020-04-08,65.15
2020-04-09,66.42
2020-04-13,65.15
2020-04-14,66.4
2020-04-15,69.02
2020-04-16,72.85
2020-04-17,71.29
2020-04-20,68.42
2020-04-21,66.24
2020-04-22,68.35
2020-04-23,69.24
2020-04-24,70.58
2020-04-27,70.82
2020-04-28,67.17
2020-04-29,66.17
2020-04-30,66.58
2020-05-01,64.97
2020-05-04,65.86
2020-05-05,68.35
2020-05-06,65.5
2020-05-07,64.61
2020-05-08,65.88
2020-05-11,67.54
2020-05-12,66.75
2020-05-13,64.69
2020-05-14,65.84
2020-05-15,68.7
2020-05-18,67.74
2020-05-19,66.91
2020-05-20,65.32
2020-05-21,65.65
2020-05-22,64.84
2020-05-26,64.49
2020-05-27,65.69
2020-05-28,66.9
2020-05-29,66.25
2020-06-01,65.7
2020-06-02,66.27
2020-06-03,65.36
2020-06-04,64.39
2020-06-05,65.11
2020-06-08,67.18
2020-06-09,65.67
